alpha_2,alpha_3,analytics_storage,brand,browser,current_progress,engagement_time_msec,event_origin,event_time,event_type,flag,ga_session_id,install_store,localization_id,location,model,model_number,name,numeric,official_name,os,place,selection,session_number,specification,state,user_action_detail,user_id,user_params/brand,user_params/campaign_name,user_params/context,user_params/dclid,user_params/gclid,user_params/is_active_user,user_params/marketing_id,user_params/medium,user_params/model,user_params/model_number,user_params/os,user_params/source,user_params/specification,user_params/srsltid,user_params/term,user_params/transaction_id,value
BE,BEL,Yes,Apple,,,22239.0,auto,1703209430542,App Closed,🇧🇪,,Null,en,Settings,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,-1.0,,,Pro,5.0,Viewed User Profile,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,52.0
BE,BEL,Yes,Apple,,,53892.0,auto,1703209645049,App Opened,🇧🇪,,Null,en,,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,-1.0,,-1,Pro,7.0,,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,63.0
BE,BEL,Yes,Apple,,,52651.0,auto,1703210146211,Click,🇧🇪,,Null,es,,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,-1.0,,,Pro,5.0,Shared Content,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,88.0
BE,BEL,Yes,Apple,,,55533.0,auto,1703211544017,Long Press,🇧🇪,,Null,es,,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,3.0,,,Pro,4.0,,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,50.0
CA,CAN,Yes,Apple,,,98918.0,auto,1703212893278,Content Shared,🇨🇦,,Null,es,Content Page,iPhone,12,Canada,124,,iOS,8.0,,-1,X,8.0,,U0aKE0dHcICG0Jgk,Apple,,,,,,WT133Ze6L3ti,,iPhone,12,iOS,,X,,,,67.0
CA,CAN,Yes,Apple,,,15236.0,auto,1703212959982,Swipe,🇨🇦,,Null,es,,iPhone,12,Canada,124,,iOS,-1.0,,,X,5.0,,U0aKE0dHcICG0Jgk,Apple,,,,,,WT133Ze6L3ti,,iPhone,12,iOS,,X,,,,52.0
BE,BEL,Yes,Apple,,,86051.0,auto,1703213233138,Swipe,🇧🇪,,Null,en,,iPhone,14,Belgium,56,Kingdom of Belgium,iOS,3.0,,,Pro,1.0,,oUBINO0wjAJqQH2e,Apple,,,,,,cKAw13s6YYik,,iPhone,14,iOS,,Pro,,,,88.0
CA,CAN,Yes,Apple,,,40167.0,auto,1703213415945,Long Press,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,,,Max,9.0,Viewed User Profile,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,83.0
CA,CAN,Yes,Apple,,,83947.0,auto,1703213416760,Click,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,,,Max,7.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,72.0
CA,CAN,Yes,Apple,,,26559.0,auto,1703213463368,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,-1.0,,,Max,4.0,Clicked Advertisement,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,46.0
CA,CAN,Yes,Apple,,,82685.0,auto,1703213696323,Swipe,🇨🇦,,Null,es,Content Page,iPhone,11,Canada,124,,iOS,8.0,TRUE,-1,Max,0.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,95.0
CA,CAN,Yes,Apple,,,87604.0,auto,1703213721773,App Closed,🇨🇦,,Null,es,Profile,iPhone,11,Canada,124,,iOS,8.0,,,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,68.0
CA,CAN,Yes,Apple,,,13124.0,auto,1703213731239,Double Tap,🇨🇦,{{ga-sid}},Null,es,Home Screen,iPhone,11,Canada,124,,iOS,-1.0,,-1,Max,6.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,65.0
CA,CAN,Yes,Apple,,,56630.0,auto,1703213803562,Long Press,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,3.0,,,Max,8.0,Viewed User Profile,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,66.0
CA,CAN,Yes,Apple,,,11940.0,auto,1703213852861,Double Tap,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,TRUE,-1,Max,1.0,Toggled Dark Mode,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,49.0
CA,CAN,Yes,Apple,,,3564.0,auto,1703213862805,Swipe,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,8.0,,-1,Max,9.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,19.0
CA,CAN,Yes,Apple,,,61191.0,auto,1703213898852,Scroll,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,3.0,,,Max,3.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,58.0
CA,CAN,Yes,Apple,,,46289.0,auto,1703213911027,Scroll,🇨🇦,,Null,es,,iPhone,11,Canada,124,,iOS,34.0,,,Max,0.0,,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,38.0
CA,CAN,Yes,Apple,,,28853.0,auto,1703213946414,Swipe,🇨🇦,{{ga-sid}},Null,en,Search Results,iPhone,11,Canada,124,,iOS,-1.0,TRUE,,Max,7.0,Searched,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,72.0
CA,CAN,Yes,Apple,,,97439.0,auto,1703213947128,Content Shared,🇨🇦,,Null,en,,iPhone,11,Canada,124,,iOS,8.0,,,Max,1.0,Viewed User Profile,rfitdUiNfIpXhCzS,Apple,,,,,,eoD7aH66yKSD,,iPhone,11,iOS,,Max,,,,78.0
